window_number,window_start,window_end,window_days,row_count,is_truncated,was_split,split_depth,daily_limit_hit,daily_limit_message
1,2026-03-12 15:33:00,2026-04-11 15:33:00,30.0,651,False,False,0,False,
2,2026-02-10 15:32:00,2026-03-12 15:32:00,30.0,560,False,False,0,False,
3,2026-01-11 15:31:00,2026-02-10 15:31:00,30.0,659,False,False,0,False,
4,2025-12-12 15:30:00,2026-01-11 15:30:00,30.0,532,False,False,0,False,
5,2025-11-12 15:29:00,2025-12-12 15:29:00,30.0,387,False,False,0,False,
6,2025-10-13 15:28:00,2025-11-12 15:28:00,30.0,677,False,False,0,False,
7,2025-10-11 15:33:00,2025-10-13 15:27:00,1.9958333333333333,131,False,False,0,False,
