window_number,window_start,window_end,window_days,row_count,is_truncated,was_split,split_depth,daily_limit_hit,daily_limit_message
1,2026-03-15 15:37:00,2026-04-14 15:37:00,30.0,650,False,False,0,False,
2,2026-02-13 15:36:00,2026-03-15 15:36:00,30.0,544,False,False,0,False,
3,2026-01-14 15:35:00,2026-02-13 15:35:00,30.0,630,False,False,0,False,
4,2025-12-15 15:34:00,2026-01-14 15:34:00,30.0,580,False,False,0,False,
5,2025-11-15 15:33:00,2025-12-15 15:33:00,30.0,417,False,False,0,False,
6,2025-10-16 15:32:00,2025-11-15 15:32:00,30.0,405,False,False,0,False,
7,2025-10-14 15:37:00,2025-10-16 15:31:00,1.9958333333333333,186,False,False,0,False,
